baseline_time=42.905132
T,time,speedup,efficiency
1,52.970116,0.810,0.810
2,48.265960,0.889,0.445
4,43.272450,0.992,0.248
8,36.450738,1.177,0.147
16,29.846530,1.437,0.090
32,23.780271,1.804,0.056
